方案,环境影响E30,成本C,达标时间t'
1,8.768717508211879e+19,17700000000.0,26.69007751774045
2,3.791264565581448e+19,18500000000.0,24.6
3,1.4558822930148442e+19,19000000000.0,22.230465541308533
